Code,Tên sản phẩm
C001,Khoai tây 5kg VietGAP
C001,Cà rốt 5kg
C001,Củ cải 2kg
C001,Cà chua 1kg
C001,Dưa leo 1kg
C001,Nấm đùi gà khay
C001,Cải bó xôi TF
C002,Bí đỏ 5kg
C002,Khoai lang 2kg
C002,Su hào 2kg
C002,Ớt chuông 1kg
C002,Rau muống khay
C003,Khoai tây 5kg VietGAP
C003,Cà rốt 5kg
C003,Củ cải 2kg
C003,Cà chua 1kg
C003,Dưa leo 1kg
C003,Nấm đùi gà khay
C003,Cải bó xôi TF
C004,Khoai tây 5kg VietGAP
C004,Cà rốt 5kg
C004,Củ cải 2kg
C004,Cà chua 1kg
C004,Dưa leo 1kg
C005,Khoai tây 5kg VietGAP
C005,Cà rốt 5kg
C005,Củ cải 2kg
C005,Cà chua 1kg
C005,Dưa leo 1kg
C006,Bí đỏ 5kg
C006,Khoai lang 2kg
C006,Su hào 2kg
C006,Ớt chuông 1kg
C007,Bí đỏ 5kg
C007,Khoai lang 2kg
C007,Su hào 2kg
C008,Khoai tây 5kg VietGAP
C008,Cà rốt 5kg
C008,Củ cải 2kg
C008,Cà chua 1kg
C009,Khoai tây 5kg VietGAP
C009,Cà rốt 5kg
C009,Củ cải 2kg
C009,Cà chua 1kg
